"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.478146542E0,-3.948646657E-2,-1.631180209E-1,1.017754662E-1
1.498142542E0,-1.369282689E-1,-1.604487669E-1,-8.947467864E-2
1.518139542E0,-1.545448333E-2,-1.147416669E-1,1.462283385E-1
1.538136542E0,5.770514801E-2,-9.519267082E-2,-1.279002410E-1
1.558132542E0,-8.489075392E-2,-5.849379122E-2,-3.286281377E-1
1.578129542E0,-8.649873823E-2,5.191158056E-3,-1.987825280E-1
1.598125542E0,1.147158661E-1,2.739420533E-2,-7.051391244E-2
1.618122542E0,1.102294437E-1,1.660199940E-2,2.412912011E-2
1.638119542E0,1.109816149E-2,3.689066827E-2,3.369633436E-2
1.658115542E0,-2.892003626E-2,9.286957204E-2,-2.942377388E-2
1.678112542E0,4.846106552E-2,1.434935957E-1,8.249310315E-2
1.698108542E0,1.067874802E-1,3.172933102E-2,3.230867314E-1
1.718105542E0,6.355426401E-2,-5.399260461E-2,2.720621735E-1
1.738102542E0,4.989399880E-2,-2.625750661E-2,1.900947350E-1
1.758098542E0,1.350434920E-1,6.421295285E-2,7.442745388E-2
1.778095542E0,-1.522220269E-2,-1.369178170E-1,1.008042437E-1
1.798092542E0,-1.659395948E-2,-1.948233783E-2,1.004902482E-2
1.818088542E0,1.648673616E-2,-2.475944996E-2,-1.509388554E-1
1.838085542E0,-2.271466403E-1,-3.081693149E-1,-9.877520138E-1
1.858080792E0,-8.639166109E-1,-5.825943482E-1,-7.336220813E-1
1.878077792E0,-4.270797907E-1,-6.089997894E-1,-1.953630763E-1
1.898074792E0,-2.011729794E-1,-5.769897920E-1,1.346900278E-1
1.918070792E0,4.258402906E-2,-2.171182269E-1,1.202304482E-2
1.938067792E0,4.306320473E-1,2.473120791E-1,2.312912929E-1
1.958063792E0,4.828773577E-1,3.886176467E-1,3.083505785E-1
1.978060792E0,3.848164083E-1,4.077164072E-1,5.304447860E-1
1.998057792E0,3.832857900E-1,4.843663877E-1,6.926342690E-1
2.018053792E0,3.343580801E-1,2.297166377E-1,1.614270061E-1
2.038050792E0,4.852418621E-1,2.109605241E-1,-1.544530320E-1
2.058046792E0,5.475980316E-1,2.426302135E-1,-4.250282586E-1
2.078043792E0,6.864618751E-1,3.069256121E-1,-4.397983253E-1
2.098040792E0,3.635966800E-1,-3.146971464E-2,-3.159414339E-1
2.118036792E0,-8.205547560E-2,-3.305641508E-1,-3.426620400E-1
2.138033792E0,-2.203829832E-1,-3.685295373E-1,-2.870854247E-1
2.158029792E0,-1.259176695E-1,-2.609641582E-1,-2.007466078E-1
2.178026792E0,2.709628969E-2,-1.131792909E-1,-2.190232497E-1
2.198023792E0,2.472549956E-2,-2.275210083E-2,-2.373531014E-1
2.218019792E0,-4.310296945E-2,5.264306724E-2,-1.777652961E-1
2.238016792E0,2.007787675E-2,1.178991634E-1,1.910150868E-1
2.258012792E0,9.619974408E-2,1.620836484E-1,4.500847471E-1
2.278009792E0,1.344989701E-1,2.145828742E-1,3.327130026E-1
2.298006792E0,1.082609785E-1,1.715070212E-1,1.885598409E-1
2.318002792E0,1.097033039E-1,1.314921856E-1,5.669811130E-2
2.337999792E0,1.825091422E-2,6.889891148E-2,-4.648361027E-2
2.357995792E0,-1.197497340E-1,-1.070987713E-1,-1.191849661E-1
2.377992792E0,-1.749590711E-1,-1.120794296E-1,-1.848924673E-1
2.397989792E0,-1.577811575E-1,-6.614253402E-2,-2.835583842E-1
2.417985792E0,-1.137315604E-1,-1.053492844E-1,-2.294348019E-1
2.437982792E0,2.072735988E-1,1.580502391E-3,1.440794867E-1
2.457978792E0,1.348526170E-1,-2.885659397E-2,-1.187803388E-2
2.477975792E0,3.203927730E-1,4.695559752E-1,8.840990067E-2
2.497972792E0,6.093681639E-1,2.550508690E-1,1.639652824E-1
2.517968792E0,3.144044933E-1,2.083187521E-1,1.125969082E-1
2.537965792E0,2.046122386E-1,1.443905586E-1,-2.918696165E-2
2.557961792E0,1.839434276E-1,1.313360649E-1,-1.543126988E-1
2.577958792E0,1.375234789E-1,4.448093891E-2,-2.302756315E-1
2.597955792E0,-4.026392698E-3,-1.053621483E-1,-2.224269140E-1
2.617951792E0,-1.809314903E-2,-2.304943174E-1,-1.697785842E-1
2.637948792E0,2.933657728E-2,-2.777544379E-1,1.101948720E-1
2.657944792E0,2.216423638E-3,-1.450431079E-1,7.013676703E-2
2.677941792E0,-2.429544051E-1,-3.526748121E-1,2.036784017E-1
2.697938792E0,-2.716713602E-1,-1.708831233E-1,-2.407965267E-1
2.717934792E0,-3.414565269E-1,-2.796518594E-1,8.152889729E-2
2.737931792E0,-2.516626268E-1,-2.147530282E-1,1.108702254E-1
2.757927792E0,-8.846391432E-2,-2.374671221E-2,2.829736626E-1
2.777924792E0,7.739732780E-2,1.359220362E-1,1.513101536E-1
2.797920792E0,1.398704051E-1,2.156786424E-1,-1.875786781E-3
2.817917792E0,3.416808772E-1,2.461198318E-1,-4.630059242E-2
2.837914792E0,3.864879446E-1,2.142454898E-1,-9.483716011E-2
2.857910708E0,2.504224323E-1,1.182646143E-1,-3.277422845E-2
2.877907708E0,4.336222038E-2,-5.123622715E-2,4.966391087E-2
2.897903708E0,2.618975200E-2,-1.413646245E-1,2.265117788E-1
2.917900708E0,6.651076242E-2,-1.314231884E-1,1.249134833E-1
2.937897708E0,1.311728180E-1,-2.236676931E-2,-3.473713875E-2
2.957893708E0,1.644917146E-1,3.145568132E-2,-1.733331066E-1
2.977890708E0,1.176385237E-1,-2.141835093E-3,-1.116473204E-1
2.997886708E0,1.917301282E-1,-1.318956435E-2,-2.007489467E-1
3.017883708E0,1.230618162E-1,-6.920355141E-2,-6.186061800E-2
3.037880708E0,1.117675903E-1,-8.669023454E-2,-1.453500867E-2
3.057876708E0,1.658376340E-2,-7.899588346E-3,1.177272552E-1
3.077873708E0,3.829085715E-3,-1.944023788E-2,6.925617635E-2
3.097869708E0,7.447094254E-2,2.347657084E-3,3.459680557E-2
3.117866708E0,2.850437231E-2,1.810356438E-2,2.270883143E-2
3.137862708E0,-5.072850611E-2,-3.526748121E-2,7.335565925E-2
3.157859708E0,2.909731653E-2,-4.563167095E-3,-6.128115892E-2
3.177856708E0,9.163233776E-2,9.401504159E-2,-2.444007504E-1
3.197852708E0,1.322668686E-1,6.887552261E-2,-1.262267679E-1
3.217849708E0,1.579936307E-1,-5.567134023E-3,1.121501809E-1
3.237845708E0,7.163051136E-2,-2.399229527E-2,2.138899791E-1
3.257842708E0,2.709256209E-2,-9.547626078E-2,3.874715924E-2
3.277838708E0,-2.090657339E-2,-6.453747332E-2,-2.836419994E-1
3.297835708E0,-2.755865827E-3,3.882668138E-2,-2.554788852E-1
3.317832708E0,1.993755088E-1,8.416306794E-2,3.369867325E-2
3.337828708E0,1.281161495E-1,-8.503605723E-3,8.903789163E-2
3.357825708E0,1.219773039E-2,-1.611551106E-2,3.604223728E-3
3.377821708E0,7.425232977E-4,-1.776618004E-2,6.985083818E-2
3.397818708E0,4.718629941E-3,-1.243819714E-2,-1.719081402E-2
3.417814708E0,4.044928372E-2,-3.825599313E-2,-6.799025416E-2
3.437811708E0,6.507929094E-2,-1.895667315E-3,-3.374662042E-2
3.457808708E0,6.763108894E-2,7.185058594E-3,-4.636549652E-2
3.477804708E0,5.965051666E-2,-4.091296792E-2,9.089496732E-3
3.497801708E0,7.653055117E-2,9.921555519E-3,-2.572190166E-2
3.517797708E0,1.272588746E-1,3.232808590E-2,3.138259113E-2
3.537794708E0,1.546822429E-1,2.233636379E-4,1.622766066E-1
3.557790708E0,1.865890369E-1,3.611591220E-2,2.226806831E-1
3.577787708E0,7.412113287E-2,-7.687334418E-3,-2.676855326E-2
3.597784708E0,-1.569706969E-2,-1.812286019E-2,-2.313784164E-1
3.617780708E0,7.160200618E-2,2.199196279E-2,-1.500313675E-1
3.637777708E0,1.231372453E-1,2.022727311E-2,-2.145460367E-2
3.657773708E0,2.713363878E-2,-4.621873140E-2,-2.299183667E-2
3.677770708E0,-1.013527125E-2,-6.422990978E-2,1.212244749E-2
3.697766708E0,7.647251755E-2,-4.339218736E-3,8.278312504E-2
3.717763708E0,8.983508639E-2,4.449789584E-2,3.784317970E-2
3.737760708E0,8.590246841E-2,6.855509520E-2,6.283242524E-2
3.757756708E0,1.047919717E-1,6.531807661E-2,-5.097134829E-2
3.777753708E0,1.285573950E-1,3.641996741E-2,-3.617496908E-2
3.797749708E0,1.030879468E-1,-3.776892006E-2,-9.641883194E-2
3.817746708E0,5.265498094E-2,-6.772303641E-2,-1.368833184E-2
3.837742708E0,3.393614329E-2,-1.499132538E-1,-8.770414174E-2
3.857740417E0,-3.705936044E-2,-1.018883175E-1,8.016591132E-2
3.877737417E0,4.501142755E-2,-3.380275369E-3,5.804004729E-2
3.897733417E0,3.639299713E-2,-2.493895948E-2,-3.226669014E-2
3.917730417E0,4.470598362E-2,-4.595385253E-2,-1.408600098E-1
3.937726417E0,6.032133847E-2,-2.220714033E-2,-1.144843894E-1
3.957723417E0,1.118059261E-1,-2.808125317E-2,-7.480986178E-2
3.977719417E0,6.689163543E-2,3.287246168E-2,-6.497075200E-2
3.997716417E0,2.153953448E-2,2.350405276E-2,5.740387022E-2
4.017713417E0,6.256623074E-2,5.636715889E-3,1.017848217E-1
4.037709417E0,6.842747971E-2,1.236744583E-2,8.491911292E-2
4.057706417E0,2.637510873E-2,-5.497786045E-2,6.746225059E-2
4.077702417E0,1.341789812E-3,-3.979264140E-2,7.620559216E-2
4.097699417E0,9.747323111E-2,-9.860744476E-3,1.593541682E-1
4.117695417E0,9.475464128E-2,-1.136464834E-2,-7.928649008E-2
4.137692417E0,3.539560832E-2,3.528794646E-3,-1.980434400E-1
4.157688417E0,5.750385761E-2,-1.745393872E-3,-1.813285893E-1
4.177685417E0,7.570697084E-2,-9.709301591E-3,-1.044172382E-1
4.197682417E0,7.119920611E-2,1.630379140E-2,-1.049733084E-1
4.217678417E0,1.526510663E-2,2.616804421E-2,-5.409317672E-2
4.237675417E0,2.567366213E-3,1.031214952E-2,2.534826458E-2
4.257671417E0,1.391315728E-2,-5.557603061E-2,1.745352942E-1
4.277668417E0,7.323279463E-2,-4.965747893E-2,1.865589237E-1
4.297664417E0,1.057878987E-1,-1.136406362E-2,-1.756491888E-1
4.317661417E0,-1.435549915E-2,3.128435791E-2,-2.520167488E-1
4.337658417E0,-1.952889629E-2,7.201723158E-2,-2.244477117E-1
4.357654417E0,-9.893715464E-2,-3.678717256E-2,3.537740886E-2
4.377651417E0,6.911876678E-2,3.898572564E-2,9.606624484E-2
4.397647417E0,4.105096221E-2,2.825140715E-2,2.668452877E-1
4.417644417E0,6.675100990E-2,1.442215741E-2,1.137727833E-1
4.437640417E0,6.077508241E-2,-7.818312049E-3,-1.015421623E-1
4.457637417E0,2.017815650E-2,-3.203923345E-2,-1.863846767E-1
4.477633417E0,3.324032463E-2,1.670783401E-2,-6.049880147E-2
4.497630417E0,8.381281972E-2,-3.278709233E-2,1.422089624E-1
4.517627417E0,1.325923392E-1,1.436953247E-2,2.437177956E-2
4.537623417E0,1.221992788E-1,2.402679384E-2,-6.581099689E-2
4.557620417E0,1.451699924E-1,2.333272934E-2,-1.810736507E-1
4.577616417E0,1.267547715E-1,-5.060121953E-2,-6.987422705E-3
4.597613417E0,1.193183557E-1,3.477046788E-2,1.252151996E-1
4.617609417E0,6.766522206E-2,3.322037101E-2,9.524471104E-2
4.637606417E0,7.893616877E-2,-3.123699546E-2,-1.446425736E-1
4.657602417E0,2.877999544E-2,-4.796471000E-3,-1.293871880E-1
4.677599417E0,5.270058922E-2,1.867776096E-2,-8.426539421E-2
4.697596417E0,7.848728534E-2,-4.364478707E-2,4.606436491E-2
4.717592417E0,1.380963964E-1,-1.096820712E-2,5.771669626E-2
4.737589417E0,1.288534103E-1,3.868167043E-2,5.926737785E-3
4.757585417E0,1.423754985E-1,1.436251581E-2,4.330915689E-2
4.777582417E0,2.028728016E-1,4.923238635E-2,6.575661778E-2
4.797578417E0,1.306301598E-1,2.708781123E-2,-1.243293464E-2
4.817575417E0,6.362209171E-3,-2.368122339E-4,-6.649921417E-2
4.837571417E0,-2.661140934E-3,-2.814674199E-2,-1.296643460E-1
4.857567292E0,7.537528753E-2,-5.774710178E-2,-3.086218894E-2
4.877563292E0,1.191696902E-1,5.461299419E-3,1.549570620E-2
4.897560292E0,7.311146490E-2,-6.243422985E-2,-1.163595915E-3
4.917557292E0,3.905647695E-2,1.864501655E-2,-1.850234449E-2
4.937553292E0,3.724362083E-2,3.705322087E-2,3.841269851E-2
4.957550292E0,1.440092470E-1,6.040173769E-2,7.802173734E-2
4.977546292E0,8.048246495E-2,3.621414542E-2,-8.477585614E-2
4.997543292E0,6.788544282E-3,5.611572862E-3,-1.040161192E-1
5.017539292E0,5.793231234E-2,6.022047400E-3,-1.303128022E-1
5.037536292E0,1.084220693E-1,2.615985811E-2,-8.259484470E-2
5.057532292E0,1.004803079E-1,4.620528281E-2,-2.843500972E-2
5.077529292E0,5.342147782E-2,1.713701963E-2,3.747129679E-2
5.097525292E0,8.464509778E-2,-1.844504178E-2,3.400097430E-2
5.117522292E0,1.264535302E-1,-1.690430045E-2,4.402017832E-2
5.137519292E0,9.738004111E-2,-1.811467409E-2,-7.464146197E-2
5.157515292E0,8.748424988E-2,9.642643332E-3,-1.033255631E-1
5.177512292E0,1.161341082E-1,-3.878224254E-2,5.929778337E-2
5.197508292E0,6.478287365E-2,3.070022106E-2,-8.525123477E-2
5.217505292E0,-1.703586280E-2,3.342853189E-3,-6.421763062E-2
5.237501292E0,9.758674018E-3,5.825464010E-2,-7.252476990E-2
5.257498292E0,5.918566301E-2,1.276154816E-2,-1.205052674E-2
5.277494292E0,4.145833042E-2,1.292176187E-2,-8.340819240E-2
5.297491292E0,5.066981468E-2,3.755374253E-2,-4.425348222E-2
5.317487292E0,1.317078382E-1,1.293170214E-2,8.439812601E-2
5.337484292E0,1.760697132E-1,-1.987351656E-2,1.086354196E-1
5.357480292E0,9.400385879E-2,-9.802973986E-2,1.271979904E-1
5.377477292E0,7.005391929E-2,-4.600004554E-2,-1.273927027E-1
5.397474292E0,2.962221377E-2,-6.502045333E-2,-1.908104342E-1
5.417470292E0,6.483648531E-3,-7.725399792E-2,-2.611571163E-1
5.437467292E0,1.741183877E-2,-1.209841543E-1,-7.333051622E-2
5.457463292E0,3.636047199E-2,-9.828058541E-2,-9.806248426E-2
5.477460292E0,6.006735004E-3,-1.703293920E-2,-1.410026819E-1
5.497456292E0,-4.399974961E-2,-1.811175048E-2,3.175739765E-2
5.517453292E0,1.326560008E-1,5.544914603E-3,7.652485013E-2
5.537449292E0,1.228514992E-1,3.534700334E-2,1.451694077E-1
5.557446292E0,8.799098421E-2,2.186449349E-2,-1.317026854E-2
5.577442292E0,6.849227417E-2,-1.037296057E-3,-4.862544537E-2
5.597439292E0,6.882816017E-2,1.121671379E-2,-8.546875119E-2
5.617435292E0,-1.749936428E-2,1.777553558E-3,-3.620011210E-3
5.637432292E0,-3.511358980E-2,1.138511360E-2,6.210210800E-2
5.657428292E0,8.820495576E-2,1.903385639E-2,-2.685216844E-2
5.677425292E0,1.055809072E-1,-1.935019076E-2,-5.097251773E-2
5.697422292E0,1.007983965E-1,-6.373991311E-2,9.977104068E-2
5.717418292E0,9.284713335E-2,-1.023204267E-2,2.323508084E-2
5.737415292E0,5.117961880E-2,-4.183741271E-2,-8.818946064E-2
5.757411292E0,1.509228487E-2,1.308022141E-2,-2.024218351E-1
5.777408292E0,-5.632169679E-2,-3.878516614E-2,-1.476538897E-1
5.797404292E0,4.672831625E-2,-4.421313643E-2,-3.218541384E-2
5.817401292E0,5.696021274E-2,2.493077338E-2,8.741353512E-2
5.837397292E0,6.798393186E-2,5.547662795E-2,1.030016273E-1
5.857394292E0,2.730054025E-2,-1.030864120E-3,7.159447789E-2
5.877390792E0,1.315718539E-1,-1.013439417E-2,5.331842065E-2
5.897387792E0,1.560314879E-1,2.635340095E-3,-3.022367299E-2
5.917383792E0,9.339037623E-2,3.077038765E-2,-1.391228020E-1
5.937380792E0,7.567130283E-2,3.479502618E-2,-3.050153267E-1
5.957376792E0,-2.282102488E-2,-7.126177132E-2,-9.557800233E-2
5.977373792E0,9.250251308E-2,-9.133350849E-4,1.270062017E-1
5.997369792E0,1.284925640E-3,-1.573193371E-2,2.564132702E-1
6.017366792E0,6.575259782E-2,8.933960795E-3,8.497641563E-2
6.037362792E0,5.822957017E-2,2.873614132E-2,-1.355033755E-1
6.057359792E0,9.804077648E-2,5.677295566E-2,-1.647716135E-1
6.077356792E0,2.938942149E-2,8.613533378E-3,1.170261741E-1
6.097352792E0,9.946201533E-2,2.404492021E-2,1.904742193E-1
6.117349792E0,6.486199379E-2,-1.013205528E-2,6.162497520E-2
6.137345792E0,1.009800987E-1,9.085988402E-3,-1.390479577E-1
6.157342792E0,-4.239889160E-3,-4.636666596E-2,-8.632361412E-2
6.177338792E0,4.732158937E-2,-1.201018095E-2,-6.442462206E-3
6.197335792E0,4.431202747E-2,-6.727806330E-3,1.459932804E-2
6.217331792E0,5.881290302E-2,-7.523086131E-2,-1.100153625E-2
6.237328792E0,1.716138791E-1,1.992672622E-2,-3.017514110E-2
6.257324792E0,1.498389941E-1,-1.186166167E-2,3.364487886E-3
6.277321792E0,1.594048197E-1,-3.573350430E-2,-1.494858223E-1
6.297317792E0,1.608349755E-3,-6.108937025E-2,-2.406363130E-2
6.317314792E0,1.047514797E-1,2.118153870E-2,5.720272601E-2
6.337310792E0,6.996960975E-2,-8.855608106E-3,6.830191076E-2
6.357307792E0,-1.222433522E-2,-5.161454201E-2,-1.393683851E-2
6.377303792E0,4.281908713E-2,3.637669802E-2,-1.128138399E-1
6.397300792E0,1.176637398E-1,-6.608523130E-3,-3.038213253E-2
6.417296792E0,1.641091239E-1,-5.403587401E-2,9.158669293E-2
6.437293792E0,1.696740653E-1,-2.330173910E-2,-5.483518839E-3
6.457289792E0,3.493141249E-2,-6.365688264E-2,-1.082343006E-1
6.477286792E0,-3.729938865E-3,-5.377041042E-2,-1.170086324E-2
6.497282792E0,6.291677132E-2,-4.139243960E-3,1.279844409E-1
6.517279792E0,5.334743746E-2,2.074416697E-2,4.722269833E-2
6.537275792E0,3.618355718E-2,-4.733438015E-2,-6.599635363E-2
6.557272792E0,1.512915887E-2,-1.721946537E-2,-9.446820080E-2
6.577268792E0,1.107525137E-1,4.600647748E-2,-9.254154325E-2
6.597265792E0,1.057505861E-1,1.346029043E-2,-1.297310042E-1
6.617261792E0,1.340113854E-1,-7.505486012E-3,-5.375403821E-2
6.637258792E0,9.952611543E-2,3.666028798E-2,4.931307793E-2
6.657254792E0,4.099175915E-2,1.242533326E-2,2.394259393E-2
6.677251792E0,4.230014674E-2,-1.499869287E-2,6.937429011E-2
6.697247792E0,1.720981016E-1,9.551134408E-2,1.441432214E-1
6.717244792E0,8.117667563E-2,-1.166987300E-2,1.340737313E-1
6.737240792E0,8.411650948E-2,-2.151073694E-2,-7.225345910E-2
6.757237792E0,9.334538922E-2,2.392914534E-2,-6.306806803E-2
6.777233792E0,1.137554609E-1,-1.157807171E-2,-1.166168690E-2
6.797230792E0,7.574760899E-2,-3.310050309E-2,-9.588732004E-2
6.817226792E0,-1.282608680E-2,-1.029758996E-1,-1.714029408E-1
6.837223792E0,7.534488201E-2,-5.249513268E-2,-1.138663387E-1
6.857220792E0,3.128684297E-2,-2.473372221E-3,1.125390208E-1
6.877216333E0,1.526603488E-1,3.087680697E-2,3.555107117E-2
